,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,state
75,75,0.5,2023-04-08 13:13:07.017238,2023-04-08 13:13:07.547907,0 days 00:00:00.530669,0.36915629091371355,7.767577090763687,0.01540140694832379,poly,COMPLETE
76,76,0.7167625476160737,2023-04-08 13:13:07.549392,2023-04-08 13:13:08.146888,0 days 00:00:00.597496,1.2768975307095871,5.331884772620638,0.1595885610338321,rbf,COMPLETE
77,77,0.7347837660822835,2023-04-08 13:13:08.148898,2023-04-08 13:13:08.715725,0 days 00:00:00.566827,0.6858623640913454,6.968511375570902,0.009864824515239998,sigmoid,COMPLETE
78,78,0.720184133396672,2023-04-08 13:13:08.717232,2023-04-08 13:13:09.308664,0 days 00:00:00.591432,0.6855090089124503,7.187098175864644,0.01163663860103605,sigmoid,COMPLETE
79,79,0.6253899063467432,2023-04-08 13:13:09.310170,2023-04-08 13:13:09.945842,0 days 00:00:00.635672,0.5779693325698354,8.827528399524573,0.005959189272565666,sigmoid,COMPLETE
80,80,0.7249530792454473,2023-04-08 13:13:09.947860,2023-04-08 13:13:10.524727,0 days 00:00:00.576867,1.3348788556684648,6.3696001213310725,0.023332410943394513,sigmoid,COMPLETE
81,81,0.7300999736248003,2023-04-08 13:13:10.526234,2023-04-08 13:13:11.197583,0 days 00:00:00.671349,0.3552557163913725,4.807930997199475,0.0776690043391295,sigmoid,COMPLETE
82,82,0.7215243788696345,2023-04-08 13:13:11.199090,2023-04-08 13:13:11.814156,0 days 00:00:00.615066,0.15414598258318934,5.886350014405359,0.029504244443154932,sigmoid,COMPLETE
83,83,0.7167844051393772,2023-04-08 13:13:11.815664,2023-04-08 13:13:12.244302,0 days 00:00:00.428638,0.9545462729715678,4.337496435760009,0.048558820334971255,poly,COMPLETE
84,84,0.724206517216634,2023-04-08 13:13:12.246311,2023-04-08 13:13:13.191038,0 days 00:00:00.944727,0.1623972438433322,6.892702419311063,0.00815340824038192,rbf,COMPLETE
85,85,0.7407092664014263,2023-04-08 13:13:13.192530,2023-04-08 13:13:14.057360,0 days 00:00:00.864830,0.27039436662686817,5.525928147200608,0.1159869512385171,rbf,COMPLETE
