,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
51,51,0.7546503895023285,2023-04-10 20:21:30.123389,2023-04-10 20:21:55.388446,0 days 00:00:25.265057,0.0006654529094333474,dart,0.6109069733317967,0.1672927107710042,1.3143507126555277e-08,depthwise,0.005712898014608097,1,5,tree,0.007914741792601722,weighted,0.006926535512482036,0.3802055333567382,COMPLETE
52,52,0.6991167643706502,2023-04-10 20:21:55.391446,2023-04-10 20:22:19.214385,0 days 00:00:23.822939,0.003748196088381457,dart,0.6648279389419729,0.07877705448240709,2.3198057975216106e-05,depthwise,0.002150639755653235,1,5,tree,0.07275043469154799,weighted,0.003087943475730165,0.43646569604545826,COMPLETE
53,53,0.7442006632691436,2023-04-10 20:22:19.216385,2023-04-10 20:22:46.707622,0 days 00:00:27.491237,8.110630232514936e-05,dart,0.491798065649433,0.15774693770320597,3.769886459630445e-06,depthwise,0.021757880715535954,2,6,tree,0.006174989358825806,weighted,0.00034821626271208395,0.4008816486247992,COMPLETE
54,54,0.7389719403634912,2023-04-10 20:22:46.710623,2023-04-10 20:23:15.850996,0 days 00:00:29.140373,3.411265344705602e-05,dart,0.5618127675967248,0.03070164731661543,1.4661405644516494e-06,depthwise,0.001223991598522066,2,4,tree,0.0009663466727350805,weighted,3.906237942605162e-05,0.4493570559714588,COMPLETE
55,55,0.6905364561272586,2023-04-10 20:23:15.853995,2023-04-10 20:23:41.150055,0 days 00:00:25.296060,0.0001388037716161289,dart,0.5244990137770994,0.7081649985084999,5.209155774103576e-08,depthwise,0.058513069812744255,1,3,tree,7.509516358829425e-05,uniform,0.0005438197435794216,0.5094603749911385,COMPLETE
56,56,0.750047045302767,2023-04-10 20:23:41.153054,2023-04-10 20:23:42.899196,0 days 00:00:01.746142,0.0011943772952470548,gbtree,0.47097857453994624,0.048266732353558967,9.310126363113233e-05,lossguide,0.005220523111907281,3,5,,,,,0.47401743672069513,COMPLETE
57,57,0.7081076708310449,2023-04-10 20:23:42.901196,2023-04-10 20:24:08.586288,0 days 00:00:25.685092,0.0005010330711711404,dart,0.42673856682250244,0.007828552441479213,3.176300987695953e-05,depthwise,0.014523911517533655,1,4,tree,0.00033246573385092935,weighted,0.0025668446026422226,0.5578630866219666,COMPLETE
58,58,0.7190478961766853,2023-04-10 20:24:08.589288,2023-04-10 20:24:34.676410,0 days 00:00:26.087122,0.007170485121326003,dart,0.5388232276378636,0.9294349422895597,8.412098678813532e-06,depthwise,0.16127777077032454,2,7,tree,0.027231910449368717,uniform,0.01377661745085172,0.3586011468570788,COMPLETE
59,59,0.722090243647733,2023-04-10 20:24:34.679411,2023-04-10 20:24:36.271542,0 days 00:00:01.592131,0.0018181858405234338,gbtree,0.3912959661966539,0.02058656015086066,3.447148627913023e-07,lossguide,0.00013631205532507864,2,6,,,,,0.5326631127706823,COMPLETE
60,60,0.7298328522376097,2023-04-10 20:24:36.274541,2023-04-10 20:24:57.404260,0 days 00:00:21.129719,0.0156740516415522,dart,0.5997389099566025,0.310941017869474,0.0005078839007830615,depthwise,0.008270600075883464,7,6,forest,0.2329874403727735,weighted,0.0001662658124435189,0.4213264743320358,COMPLETE
61,61,0.757505875636056,2023-04-10 20:24:57.407261,2023-04-10 20:25:23.205361,0 days 00:00:25.798100,0.0007282532607490728,dart,0.625833642688504,0.18658945437998384,1.4280224004418403e-08,depthwise,0.00331781251714263,1,5,tree,0.011269429058230921,weighted,0.004937473479196239,0.3841467013336376,COMPLETE
62,62,0.768748511357113,2023-04-10 20:25:23.208361,2023-04-10 20:25:50.179557,0 days 00:00:26.971196,0.0003438038229378479,dart,0.6201781749181604,0.12281755364696036,2.01604000670354e-08,depthwise,0.0033215005009585093,1,5,tree,0.003282844769440157,weighted,0.001438274824167264,0.3761958075867565,COMPLETE
63,63,0.728210952904851,2023-04-10 20:25:50.182556,2023-04-10 20:26:17.576786,0 days 00:00:27.394230,0.0003356299905903953,dart,0.6282819066516293,0.04694062075029069,1.000691761246453e-08,depthwise,0.0010445015958384036,1,5,tree,0.0026314691706030065,weighted,0.0014915180628816708,0.38055661152304393,COMPLETE
64,64,0.7536573558460146,2023-04-10 20:26:17.579786,2023-04-10 20:26:43.701914,0 days 00:00:26.122128,0.0007182303041706701,dart,0.678473227191374,0.127020363759437,4.8280186051047605e-08,depthwise,0.002678979198824681,1,4,tree,0.006870452242840551,weighted,0.003845598385952938,0.2752875862233001,COMPLETE
65,65,0.7282540435428502,2023-04-10 20:26:43.705913,2023-04-10 20:27:15.932536,0 days 00:00:32.226623,0.00018453990451971437,dart,0.5651285993151611,0.06513661106052002,1.547976686854529e-07,depthwise,0.018414317342592516,1,5,tree,0.001008194660378439,weighted,0.0007158107844867285,0.33774207897490083,COMPLETE
