,number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_learning_rate,params_momentum,params_n_layers,params_n_units_0,params_n_units_1,params_power_t,params_solver,state
68,68,0.6856246395793556,2023-04-08 13:40:14.088962,2023-04-08 13:40:25.915144,0 days 00:00:11.826182,relu,0.08520554541468495,constant,0.5739307692178068,1,93,,0.2,adam,COMPLETE
69,69,0.5,2023-04-08 13:40:25.916639,2023-04-08 13:40:36.566864,0 days 00:00:10.650225,relu,0.17297105751736017,constant,0.7209278857230359,1,89,,0.30000000000000004,sgd,COMPLETE
70,70,0.6884911172814203,2023-04-08 13:40:36.568360,2023-04-08 13:40:47.280674,0 days 00:00:10.712314,relu,0.20971415066350463,constant,0.3446960983732977,1,97,,0.4,adam,COMPLETE
71,71,0.6831432471350276,2023-04-08 13:40:47.283187,2023-04-08 13:40:57.842776,0 days 00:00:10.559589,relu,0.24299797351456098,constant,0.4270136294430789,1,72,,0.5,adam,COMPLETE
72,72,0.6786397096177371,2023-04-08 13:40:57.844798,2023-04-08 13:41:12.341781,0 days 00:00:14.496983,tanh,0.29705776996683203,constant,0.39707117418255056,1,76,,0.5,adam,COMPLETE
73,73,0.7006876936061999,2023-04-08 13:41:12.343276,2023-04-08 13:41:22.962600,0 days 00:00:10.619324,relu,0.2597892482496599,adaptive,0.4465365161927653,1,61,,0.6000000000000001,adam,COMPLETE
74,74,0.6593121029963829,2023-04-08 13:41:22.964280,2023-04-08 13:41:35.348195,0 days 00:00:12.383915,tanh,0.18452670659667886,adaptive,0.3629454165375475,1,70,,0.30000000000000004,adam,COMPLETE
75,75,0.6783365002941383,2023-04-08 13:41:35.349692,2023-04-08 13:41:54.270437,0 days 00:00:18.920745,relu,0.024186740366546805,constant,0.4871167917861865,2,65,87.0,0.4,adam,COMPLETE
76,76,0.6921070773826383,2023-04-08 13:41:54.271945,2023-04-08 13:42:18.229742,0 days 00:00:23.957797,tanh,0.15241231612024872,adaptive,0.6687549255388247,2,81,56.0,0.2,adam,COMPLETE
77,77,0.6824894873169746,2023-04-08 13:42:18.231249,2023-04-08 13:42:26.486425,0 days 00:00:08.255176,relu,0.2226355517280308,adaptive,0.5901436256221957,1,55,,0.5,adam,COMPLETE
78,78,0.7081774766501547,2023-04-08 13:42:26.487921,2023-04-08 13:42:38.498559,0 days 00:00:12.010638,tanh,0.12017463668780151,constant,0.6331323432690282,2,5,78.0,0.4,adam,COMPLETE
79,79,0.6348110573723862,2023-04-08 13:42:38.500053,2023-04-08 13:42:42.456800,0 days 00:00:03.956747,tanh,0.11553969681151656,constant,0.6358061279787458,1,4,,0.4,adam,COMPLETE
80,80,0.5,2023-04-08 13:42:42.458307,2023-04-08 13:42:53.827586,0 days 00:00:11.369279,relu,0.06900175939747823,constant,0.6934121811650962,2,26,79.0,0.30000000000000004,sgd,COMPLETE
81,81,0.6793745629902638,2023-04-08 13:42:53.829080,2023-04-08 13:43:07.449430,0 days 00:00:13.620350,tanh,0.09448456818654762,constant,0.6669189579420031,2,12,90.0,0.4,adam,COMPLETE
82,82,0.6982642440186397,2023-04-08 13:43:07.450938,2023-04-08 13:43:29.665701,0 days 00:00:22.214763,tanh,0.1348856235920846,constant,0.6019957556775504,2,67,70.0,0.5,adam,COMPLETE
83,83,0.6896443080612411,2023-04-08 13:43:29.667711,2023-04-08 13:43:49.121354,0 days 00:00:19.453643,tanh,0.04753935022976043,constant,0.5403880652687912,2,46,63.0,0.5,adam,COMPLETE
84,84,0.6862229567361343,2023-04-08 13:43:49.122861,2023-04-08 13:44:10.558748,0 days 00:00:21.435887,tanh,0.2450267292151919,adaptive,0.6273612446086885,2,51,76.0,0.2,adam,COMPLETE
85,85,0.6979771664090986,2023-04-08 13:44:10.560256,2023-04-08 13:44:37.597103,0 days 00:00:27.036847,tanh,0.1979634710606965,adaptive,0.4009961737080659,2,78,95.0,0.4,adam,COMPLETE
86,86,0.7045960865900325,2023-04-08 13:44:37.599112,2023-04-08 13:44:56.895137,0 days 00:00:19.296025,tanh,0.17565039458737047,constant,0.7371756095716664,2,42,81.0,0.4,adam,COMPLETE
87,87,0.6746572878711184,2023-04-08 13:44:56.896644,2023-04-08 13:45:12.682910,0 days 00:00:15.786266,relu,0.2888395459050972,adaptive,0.5138751988475194,2,83,31.0,0.30000000000000004,adam,COMPLETE
88,88,0.6812149853818232,2023-04-08 13:45:12.685547,2023-04-08 13:45:21.193856,0 days 00:00:08.508309,tanh,0.14755696834362356,adaptive,0.32971869036667073,1,34,,0.6000000000000001,adam,COMPLETE
89,89,0.6991354408349733,2023-04-08 13:45:21.195583,2023-04-08 13:45:36.222535,0 days 00:00:15.026952,relu,0.20745801323694046,constant,0.5547873779331538,2,75,53.0,0.5,adam,COMPLETE
90,90,0.6841186621366957,2023-04-08 13:45:36.224026,2023-04-08 13:45:55.142861,0 days 00:00:18.918835,tanh,0.11030798039362937,adaptive,0.6924920531120207,2,69,40.0,0.2,adam,COMPLETE
91,91,0.7028358825615861,2023-04-08 13:45:55.144882,2023-04-08 13:46:02.515134,0 days 00:00:07.370252,relu,0.3167750091204736,constant,0.7119141905224523,1,31,,0.30000000000000004,adam,COMPLETE
92,92,0.5991200492078959,2023-04-08 13:46:02.517141,2023-04-08 13:46:06.313992,0 days 00:00:03.796851,relu,0.2431417607134685,constant,0.6584648943994016,1,4,,0.30000000000000004,adam,COMPLETE
93,93,0.6815861391064814,2023-04-08 13:46:06.315723,2023-04-08 13:46:10.473576,0 days 00:00:04.157853,relu,0.17988963905110844,constant,0.6306768057312648,1,11,,0.4,adam,COMPLETE
94,94,0.6917669662148291,2023-04-08 13:46:10.475083,2023-04-08 13:46:19.335565,0 days 00:00:08.860482,relu,0.2751034238994285,constant,0.6836701396810867,1,73,,0.30000000000000004,adam,COMPLETE
95,95,0.6971539231885728,2023-04-08 13:46:19.337589,2023-04-08 13:46:23.836649,0 days 00:00:04.499060,relu,0.21530588742115905,constant,0.7652781520045954,1,21,,0.7,adam,COMPLETE
96,96,0.5,2023-04-08 13:46:23.838157,2023-04-08 13:46:30.678844,0 days 00:00:06.840687,relu,0.15974549902877502,adaptive,0.582787165335896,1,37,,0.4,sgd,COMPLETE
97,97,0.6824268799128693,2023-04-08 13:46:30.680336,2023-04-08 13:46:38.757065,0 days 00:00:08.076729,relu,0.12713774597959712,constant,0.47980026107585866,1,48,,0.5,adam,COMPLETE
98,98,0.6992299952418015,2023-04-08 13:46:38.759075,2023-04-08 13:46:59.025983,0 days 00:00:20.266908,tanh,0.08326386642170197,adaptive,0.6148632010777435,2,56,60.0,0.2,adam,COMPLETE
99,99,0.7036589129875668,2023-04-08 13:46:59.028483,2023-04-08 13:47:14.285599,0 days 00:00:15.257116,relu,0.35020317885105945,constant,0.3812722438125411,2,60,67.0,0.30000000000000004,adam,COMPLETE
