,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
39,39,0.6173337478132448,2023-04-11 16:54:29.799760,2023-04-11 16:54:31.764761,0 days 00:00:01.965001,6.870296176413507e-08,gbtree,0.6705527877723292,0.19156150443663367,0.001357611711768991,depthwise,8.935119028321186e-08,1,8,,,,,0.7596758100329724,COMPLETE
40,40,0.5,2023-04-11 16:54:31.767761,2023-04-11 16:54:34.247471,0 days 00:00:02.479710,7.57151273635032e-07,gbtree,0.7382340589430754,0.0018562584172481047,0.006145494734796753,depthwise,6.946572425842632e-07,1,6,,,,,0.7668076696954562,COMPLETE
41,41,0.6085612941076933,2023-04-11 16:54:34.251472,2023-04-11 16:54:37.289351,0 days 00:00:03.037879,3.055040293802364e-07,gbtree,0.7548601098565618,0.4334237647501801,0.0007295658286432899,depthwise,1.886079846432029e-07,2,8,,,,,0.7235917363462683,COMPLETE
42,42,0.6104929931863772,2023-04-11 16:54:37.293352,2023-04-11 16:54:40.284564,0 days 00:00:02.991212,1.3741511484176876e-06,gbtree,0.7091611115586572,0.8437385130179655,0.002152745547194151,depthwise,5.496392217750473e-08,1,9,,,,,0.7952193726722638,COMPLETE
43,43,0.6091514859953545,2023-04-11 16:54:40.287564,2023-04-11 16:54:44.163796,0 days 00:00:03.876232,4.916302198358221e-07,gbtree,0.7352109997636986,0.16494026225574104,8.922087185746902e-05,depthwise,5.537972584705225e-07,2,5,,,,,0.8432507160619453,COMPLETE
44,44,0.6135988998316032,2023-04-11 16:54:44.167798,2023-04-11 16:54:46.876713,0 days 00:00:02.708915,5.713493983282199e-08,gbtree,0.6855140750264387,0.9090059506317686,0.0004333630444652399,depthwise,3.184495075260145e-08,1,9,,,,,0.7001580593967793,COMPLETE
45,45,0.6164456366420155,2023-04-11 16:54:46.880715,2023-04-11 16:54:50.006962,0 days 00:00:03.126247,6.6106845185517895e-06,gbtree,0.8012037010740687,0.2948299020810652,0.012762605857823447,depthwise,1.5673772488743646e-07,2,6,,,,,0.9567933223688951,COMPLETE
46,46,0.6263241550792128,2023-04-11 16:54:50.010965,2023-04-11 16:54:52.941145,0 days 00:00:02.930180,2.399486052656259e-07,gbtree,0.7696316451681444,0.11901886845568628,0.0002222188703284456,depthwise,1.497832794472842e-08,2,10,,,,,0.6645401336780197,COMPLETE
47,47,0.6166968866178474,2023-04-11 16:54:52.946145,2023-04-11 16:54:55.894539,0 days 00:00:02.948394,2.038541208992208e-07,gbtree,0.7805625855615328,0.09751692758518075,0.00033622950344012136,depthwise,2.187300802637877e-08,2,8,,,,,0.7731659529947548,COMPLETE
48,48,0.5534874721155291,2023-04-11 16:54:55.900539,2023-04-11 16:54:58.533209,0 days 00:00:02.632670,1.616677625128663e-08,gbtree,0.8341297198956805,0.028480317658175377,0.00013562603558966638,depthwise,1.1699463028326891e-08,1,3,,,,,0.6890240592247089,COMPLETE
