,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,state
78,78,0.6747508495405985,2023-04-11 15:39:44.241199,2023-04-11 15:39:52.078858,0 days 00:00:07.837659,True,8.416277682703369,gini,29,8,10,182,COMPLETE
79,79,0.705470719699133,2023-04-11 15:39:52.081857,2023-04-11 15:40:05.761233,0 days 00:00:13.679376,True,7.802201537422644,gini,25,13,16,240,COMPLETE
80,80,0.6704789358444463,2023-04-11 15:40:05.763232,2023-04-11 15:40:19.549398,0 days 00:00:13.786166,True,11.287822277472344,log_loss,12,7,19,302,COMPLETE
81,81,0.7151262744444469,2023-04-11 15:40:19.551398,2023-04-11 15:40:32.026916,0 days 00:00:12.475518,True,7.79289871569237,gini,24,12,15,234,COMPLETE
82,82,0.7024404541190622,2023-04-11 15:40:32.030916,2023-04-11 15:40:43.364082,0 days 00:00:11.333166,True,8.824681012005248,gini,24,11,14,222,COMPLETE
83,83,0.6916308367577433,2023-04-11 15:40:43.366083,2023-04-11 15:40:52.811717,0 days 00:00:09.445634,True,9.270292382095274,gini,27,10,13,195,COMPLETE
84,84,0.6887551927451758,2023-04-11 15:40:52.816717,2023-04-11 15:41:04.285751,0 days 00:00:11.469034,True,6.822499564025538,gini,26,12,15,209,COMPLETE
85,85,0.6949158831276595,2023-04-11 15:41:04.287752,2023-04-11 15:41:19.761570,0 days 00:00:15.473818,True,6.197016086199441,gini,31,15,16,249,COMPLETE
86,86,0.6951973973926208,2023-04-11 15:41:19.763566,2023-04-11 15:41:34.845100,0 days 00:00:15.081534,True,8.425846179211401,gini,32,17,18,234,COMPLETE
87,87,0.7066917520814068,2023-04-11 15:41:34.847102,2023-04-11 15:41:48.606114,0 days 00:00:13.759012,True,7.712562865423959,gini,25,9,19,269,COMPLETE
88,88,0.6920308103607934,2023-04-11 15:41:48.608099,2023-04-11 15:42:02.140905,0 days 00:00:13.532806,True,7.449051813839121,log_loss,29,9,19,264,COMPLETE
89,89,0.6988777686441534,2023-04-11 15:42:02.142912,2023-04-11 15:42:19.150261,0 days 00:00:17.007349,True,7.942846678488209,gini,28,11,19,278,COMPLETE
90,90,0.6995822088065786,2023-04-11 15:42:19.152263,2023-04-11 15:42:32.200305,0 days 00:00:13.048042,True,6.905856837279817,gini,25,7,20,253,COMPLETE
91,91,0.6918509566681474,2023-04-11 15:42:32.202306,2023-04-11 15:42:47.177263,0 days 00:00:14.974957,True,8.927838431598895,gini,30,12,17,272,COMPLETE
92,92,0.7055198119143206,2023-04-11 15:42:47.180240,2023-04-11 15:42:49.495426,0 days 00:00:02.315186,True,8.241502602220987,gini,22,10,12,36,COMPLETE
93,93,0.6774858716930741,2023-04-11 15:42:49.497426,2023-04-11 15:43:07.796942,0 days 00:00:18.299516,True,7.656754973163366,gini,24,13,15,319,COMPLETE
94,94,0.7135883838004843,2023-04-11 15:43:07.799940,2023-04-11 15:43:20.807836,0 days 00:00:13.007896,True,7.077237498352976,gini,25,9,18,225,COMPLETE
95,95,0.6933351064663322,2023-04-11 15:43:20.809835,2023-04-11 15:43:35.174888,0 days 00:00:14.365053,True,6.366803421324583,gini,27,8,18,285,COMPLETE
96,96,0.7001750437776942,2023-04-11 15:43:35.176893,2023-04-11 15:43:48.527947,0 days 00:00:13.351054,True,7.086227178682841,entropy,26,9,20,242,COMPLETE
97,97,0.6918665910560475,2023-04-11 15:43:48.529947,2023-04-11 15:44:00.697474,0 days 00:00:12.167527,True,7.910329583324417,gini,9,10,19,236,COMPLETE
98,98,0.6875747263256831,2023-04-11 15:44:00.700476,2023-04-11 15:44:06.300336,0 days 00:00:05.599860,True,5.126588354908439,gini,31,7,18,114,COMPLETE
99,99,0.690012117697434,2023-04-11 15:44:06.302349,2023-04-11 15:44:30.018043,0 days 00:00:23.715694,True,9.681631273472405,log_loss,30,11,19,396,COMPLETE
