,number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_learning_rate,params_momentum,params_n_layers,params_n_units_0,params_n_units_1,params_power_t,params_solver,state
68,68,0.5949927892218461,2023-04-11 16:15:14.919590,2023-04-11 16:15:32.003703,0 days 00:00:17.084113,relu,0.010564402090565403,constant,0.07925644931339788,2,70,43.0,0.4,adam,COMPLETE
69,69,0.6030924456717541,2023-04-11 16:15:32.006701,2023-04-11 16:15:44.419703,0 days 00:00:12.413002,relu,0.01866211256533891,adaptive,0.22727719423867782,2,63,43.0,0.4,adam,COMPLETE
70,70,0.5371667376560005,2023-04-11 16:15:44.422704,2023-04-11 16:16:02.755172,0 days 00:00:18.332468,relu,0.08021182584688294,adaptive,0.2865458853352209,2,63,45.0,0.4,adam,COMPLETE
71,71,0.588023626744208,2023-04-11 16:16:02.757172,2023-04-11 16:16:19.990650,0 days 00:00:17.233478,relu,0.013807873051834396,adaptive,0.23186887624078784,2,70,42.0,0.30000000000000004,adam,COMPLETE
72,72,0.5839299349095695,2023-04-11 16:16:19.993649,2023-04-11 16:16:37.248028,0 days 00:00:17.254379,relu,0.03319894684341364,adaptive,0.2570556636423837,2,70,38.0,0.30000000000000004,adam,COMPLETE
73,73,0.5877117469216049,2023-04-11 16:16:37.250054,2023-04-11 16:16:54.293393,0 days 00:00:17.043339,relu,0.030894754906224984,adaptive,0.3389450973922547,2,59,41.0,0.2,adam,COMPLETE
74,74,0.5776340119260228,2023-04-11 16:16:54.295393,2023-04-11 16:17:09.591367,0 days 00:00:15.295974,relu,0.0332763030287843,adaptive,0.3438332649537502,2,59,43.0,0.2,adam,COMPLETE
75,75,0.574092917056632,2023-04-11 16:17:09.593372,2023-04-11 16:17:27.153337,0 days 00:00:17.559965,relu,0.0749404740603728,adaptive,0.21924187734867037,2,54,48.0,0.30000000000000004,adam,COMPLETE
76,76,0.5546922016477288,2023-04-11 16:17:27.156338,2023-04-11 16:17:43.511468,0 days 00:00:16.355130,tanh,0.113165193251897,adaptive,0.22529616150844367,2,47,37.0,0.30000000000000004,adam,COMPLETE
77,77,0.5801591750654558,2023-04-11 16:17:43.513469,2023-04-11 16:18:02.349032,0 days 00:00:18.835563,relu,0.010953149594274167,adaptive,0.1443366928969531,2,68,40.0,0.2,adam,COMPLETE
78,78,0.5559796018458043,2023-04-11 16:18:02.352035,2023-04-11 16:18:18.920480,0 days 00:00:16.568445,relu,0.07428435532868748,adaptive,0.32485451607597005,2,59,35.0,0.4,adam,COMPLETE
79,79,0.5258183575628292,2023-04-11 16:18:18.922482,2023-04-11 16:18:35.127779,0 days 00:00:16.205297,relu,0.17681612780729714,adaptive,0.2736188496003423,2,72,45.0,0.2,adam,COMPLETE
80,80,0.5,2023-04-11 16:18:35.129781,2023-04-11 16:19:02.147694,0 days 00:00:27.017913,relu,0.03500810828278408,constant,0.19365523260998868,2,62,51.0,0.30000000000000004,sgd,COMPLETE
81,81,0.5799568560138605,2023-04-11 16:19:02.149680,2023-04-11 16:19:11.224529,0 days 00:00:09.074849,relu,0.012091691346615356,adaptive,0.2977504637350581,2,65,32.0,0.4,adam,COMPLETE
82,82,0.5600264888776149,2023-04-11 16:19:11.225533,2023-04-11 16:19:24.752707,0 days 00:00:13.527174,relu,0.0635204689716848,adaptive,0.25779386011248046,2,57,30.0,0.30000000000000004,adam,COMPLETE
83,83,0.5710863829075091,2023-04-11 16:19:24.754706,2023-04-11 16:19:35.887896,0 days 00:00:11.133190,relu,0.1082656580461557,adaptive,0.2224753936007532,2,51,41.0,0.4,adam,COMPLETE
84,84,0.5502064189742641,2023-04-11 16:19:35.890159,2023-04-11 16:19:48.082873,0 days 00:00:12.192714,relu,0.035489213950135115,adaptive,0.08465265081483542,2,66,24.0,0.4,adam,COMPLETE
85,85,0.5846103153075838,2023-04-11 16:19:48.084875,2023-04-11 16:20:01.374940,0 days 00:00:13.290065,relu,0.0761036197358679,adaptive,0.42153601927303874,2,85,28.0,0.2,adam,COMPLETE
86,86,0.5582235874219392,2023-04-11 16:20:01.376941,2023-04-11 16:20:18.195238,0 days 00:00:16.818297,tanh,0.14733070853952016,adaptive,0.13198618908187915,2,68,54.0,0.30000000000000004,adam,COMPLETE
87,87,0.580527526944216,2023-04-11 16:20:18.196238,2023-04-11 16:20:29.286141,0 days 00:00:11.089903,relu,0.032855137094113245,adaptive,0.17563803187758303,2,75,35.0,0.8,adam,COMPLETE
88,88,0.5586268462321383,2023-04-11 16:20:29.288140,2023-04-11 16:20:41.719192,0 days 00:00:12.431052,relu,0.0887933165084017,adaptive,0.33142112340387564,2,62,48.0,0.5,adam,COMPLETE
89,89,0.5752334886527497,2023-04-11 16:20:41.721193,2023-04-11 16:20:53.497476,0 days 00:00:11.776283,relu,0.010505663712717772,adaptive,0.2693255859286445,2,81,94.0,0.2,adam,COMPLETE
90,90,0.49987146529562987,2023-04-11 16:20:53.498476,2023-04-11 16:21:00.881470,0 days 00:00:07.382994,relu,0.12680801584810625,adaptive,0.15591795747607923,1,1,,0.4,adam,COMPLETE
91,91,0.5597225224133723,2023-04-11 16:21:00.883476,2023-04-11 16:21:12.870737,0 days 00:00:11.987261,relu,0.05628180268878029,adaptive,0.18994721856578106,2,72,16.0,0.5,adam,COMPLETE
92,92,0.5730495428118224,2023-04-11 16:21:12.872725,2023-04-11 16:21:23.242029,0 days 00:00:10.369304,relu,0.03692536523501886,adaptive,0.2450719128859381,2,76,44.0,0.9000000000000001,adam,COMPLETE
93,93,0.5730391693283179,2023-04-11 16:21:23.243030,2023-04-11 16:21:35.795036,0 days 00:00:12.552006,relu,0.06219513209955474,adaptive,0.2934204141924921,2,70,40.0,0.7,adam,COMPLETE
94,94,0.5973032241200892,2023-04-11 16:21:35.797036,2023-04-11 16:21:47.957289,0 days 00:00:12.160253,relu,0.027197604431859587,adaptive,0.20915801662850064,2,65,66.0,0.7,adam,COMPLETE
95,95,0.54330527640346,2023-04-11 16:21:47.959294,2023-04-11 16:21:58.855166,0 days 00:00:10.895872,relu,0.09931767606848388,adaptive,0.23317169669240262,2,66,4.0,0.7,adam,COMPLETE
96,96,0.5,2023-04-11 16:21:58.857165,2023-04-11 16:22:19.935875,0 days 00:00:21.078710,relu,0.03250434088042156,constant,0.20727800904152127,2,59,47.0,0.8,sgd,COMPLETE
97,97,0.5617002429454876,2023-04-11 16:22:19.937876,2023-04-11 16:22:29.517175,0 days 00:00:09.579299,relu,0.05766125183704798,adaptive,0.1246834433055875,2,55,9.0,0.7,adam,COMPLETE
98,98,0.5369983270301455,2023-04-11 16:22:29.519163,2023-04-11 16:22:38.766917,0 days 00:00:09.247754,relu,0.0961976793921925,adaptive,0.16269805490284284,2,64,17.0,0.30000000000000004,adam,COMPLETE
99,99,0.5832771801902104,2023-04-11 16:22:38.768916,2023-04-11 16:22:50.858568,0 days 00:00:12.089652,tanh,0.02922994148313774,adaptive,0.08195233078701103,2,61,36.0,0.8,adam,COMPLETE
